step time temp press pe ke etotal
3500 3.5 302.55527569208845762 3533.6681713084622061 -7427.6884011421661853 67.540101118781166178 -7360.1483000233847633
3600 3.6000000000000000888 301.90687010386272959 3586.3215400046169634 -7427.2312990114851345 67.395356067171775294 -7359.8359429443135014
3700 3.7000000000000001776 289.99838931884374915 3590.9098383516979993 -7424.2211608092920869 64.736998864338573867 -7359.4841619449534846
3800 3.8000000000000002665 300.74577503803971013 3613.2326536213386134 -7426.2810340057840222 67.136162179460441735 -7359.1448718263236515
3900 3.8999999999999999112 312.00553400927617531 3690.6490533848063933 -7427.391092510881208 69.649703738935230035 -7357.7413887719458216
4000 4 302.731101709923621 3689.7463258020106878 -7425.5517214012406839 67.579351159940543425 -7357.9723702413002684
4100 4.0999999999999996447 298.91462770985441466 3605.1366889256523791 -7425.1857889606926619 66.727391003925276891 -7358.4583979567669303
4200 4.2000000000000001776 300.95243488274053334 3542.4318508686537825 -7424.8200133828795515 67.182295325796616225 -7357.6377180570825658
4300 4.2999999999999998224 300.24932480841340521 3582.7950670756936233 -7423.294693818770611 67.025338467552913357 -7356.2693553512181097
4400 4.4000000000000003553 306.38610913818331483 3620.1292646527863326 -7424.7896586283295619 68.395266766534646763 -7356.3943918617951567
4500 4.5 300.43159164866614219 3597.9235126387411583 -7424.0258798219410892 67.066026308123895205 -7356.9598535138175066
4600 4.6000000000000005329 307.87163495409294001 3657.2175635278658774 -7425.0671774560569247 68.726884067180250781 -7356.3402933888764892
4700 4.7000000000000001776 303.58374404851036843 3682.0463951794681634 -7425.3445071046062367 67.769688445035214386 -7357.5748186595710649
4800 4.7999999999999998224 310.2617597454565157 3603.3661392390367837 -7426.9546928732816014 69.260437050931514591 -7357.6942558223499873
4900 4.9000000000000003553 308.2811262552549465 3575.1491841250763173 -7426.2296470362989567 68.818295740053827103 -7357.4113512962449022
5000 5 305.84987962730843947 3641.9196915514717148 -7425.7107395693865328 68.275563035358516117 -7357.4351765340279599
5100 5.1000000000000005329 308.2685352012272233 3609.1988553538076303 -7425.9460365229069794 68.815485010476308503 -7357.1305515124304293
5200 5.2000000000000001776 310.08714363834849337 3582.2264861503904285 -7425.0611616705955385 69.221457100890759762 -7355.8397045697047361
5300 5.2999999999999998224 308.64286155997666583 3608.4350338556714632 -7424.3906660167740483 68.899046733416128063 -7355.4916192833579771
5400 5.4000000000000003553 303.16595702805074097 3736.9184524615434384 -7423.5097692905128497 67.676424899908099064 -7355.8333443906049069
5500 5.5 313.0694746708807088 3653.5663697448890161 -7426.1027180293958736 69.887209628412037432 -7356.2155084009837083
5600 5.6000000000000005329 304.66506035153190624 3561.5784562797302897 -7423.9428468563019123 68.011073138395474302 -7355.9317737179062533
5700 5.7000000000000001776 306.41796529917832004 3600.3021235379810605 -7425.3575650070952179 68.402378089680269113 -7356.9551869174147214
5800 5.7999999999999998224 302.45206043352584402 3614.274727733911277 -7425.1100643827203385 67.5170601422707648 -7357.5930042404497726
5900 5.9000000000000003553 299.89186556914734183 3656.9467014919778194 -7424.3193420015850279 66.945542029990733113 -7357.3737999715940532
6000 6 308.86195077789818697 3630.258141114387854 -7426.9027246020505117 68.947954516956187376 -7357.9547700850944238
6100 6.1000000000000005329 309.33021221881352858 3560.7683042467215273 -7426.2571870014407978 69.052485581559523098 -7357.2047014198815305
6200 6.2000000000000001776 306.77740359392862501 3654.1808155015169177 -7424.9397519735184687 68.482616316291469616 -7356.4571356572268996
6300 6.2999999999999998224 310.28421755196643517 3664.0772615141599999 -7426.2251188631926198 69.265450358067269576 -7356.9596685051255918
6400 6.4000000000000003553 304.73893333396716798 3653.5289550061279442 -7424.3786498266536 68.027563971986822366 -7356.3510858546669624
6500 6.5 303.86979913560560362 3695.4895981211061553 -7424.7008999297841001 67.833545171591254075 -7356.8673547581929597
6600 6.6000000000000005329 312.55212286158524648 3687.4409736916236398 -7426.3760214553540209 69.77172000941970964 -7356.6043014459346523
6700 6.7000000000000001776 299.44241322901166313 3605.9619755223384345 -7424.0987004296193845 66.845209763658914426 -7357.2534906659602711
6800 6.7999999999999998224 293.85014827343951538 3623.3113006623234469 -7422.9455318808695665 65.596835760864294684 -7357.3486961200051155
6900 6.9000000000000003553 302.57333432748202995 3653.2600418459392131 -7424.3434059707769848 67.544132388960676394 -7356.7992735818161236
7000 7 300.69640861985283209 3587.1508482719686981 -7424.4980179058802605 67.125142001846327844 -7357.3728759040341174
7100 7.1000000000000005329 307.71824773148159693 3681.6145837704807491 -7425.9114783926079326 68.692643089224063147 -7357.2188353033834574
7200 7.2000000000000001776 299.71351456561217219 3596.4889205844924618 -7424.4372714437877221 66.905728330540782167 -7357.5315431132466983
7300 7.2999999999999998224 302.83013053682481086 3642.259855672224603 -7424.4662545406517893 67.60145758980623043 -7356.8647969508456299
7400 7.4000000000000003553 293.34983030787640246 3563.1528391650053891 -7423.7575839635501325 65.48514864548222647 -7358.2724353180683465
7500 7.5 304.05964697955494103 3573.6932200132159778 -7425.5075730552962341 67.875925336829453727 -7357.6316477184664109
7600 7.6000000000000005329 298.65345379064933695 3633.5135706195678722 -7424.5291878913849359 66.669088556967949444 -7357.8600993344171002
