step time temp press pe ke etotal
0 0 300.00000000000051159 2067.3605138293901291 -7493.6447998565572561 66.969681124500112901 -7426.6751187320569443
100 0.10000000000000000555 155.26119168510862778 2169.042196456606689 -7455.5348041875249692 34.659308327205323508 -7420.8754958603194609
200 0.2000000000000000111 150.18452884356352683 2386.9031547226672956 -7445.0825038945240522 33.526033354955742993 -7411.5564705395681813
300 0.2999999999999999889 215.75879344745413846 2512.2891780227432719 -7448.5098086347570643 48.164325323276216295 -7400.3454833114810754
400 0.4000000000000000222 250.62849582268438553 2777.7722077603830257 -7443.8862375123553647 55.948368153194181218 -7387.9378693591615956
500 0.5 248.62728211640092013 3101.345416006805408 -7431.0500759954056775 55.501632673954908626 -7375.5484433214505771
600 0.5999999999999999778 276.73263254438705872 3431.597026544950495 -7425.9629367130455648 61.775653860803444672 -7364.1872828522418786
700 0.70000000000000006661 287.22642593583401549 3721.1117796624416769 -7419.8406936347364535 64.118207184842077595 -7355.7224864498939496
800 0.80000000000000004441 308.91065256009801487 3690.7802731434180714 -7421.2768338397609114 68.95882632636991616 -7352.3180075133914215
900 0.9000000000000000222 313.5557905743420406 3709.3933176635555355 -7424.968162915000903 69.995771031680632746 -7354.9723918833205971
1000 1 297.20682540864294197 3640.6943662515927826 -7427.2168374170669267 66.346154418805880937 -7360.8706829982611453
1100 1.1000000000000000888 297.2653806917716679 3605.9403145089181635 -7430.3576422319083576 66.359225847603497073 -7363.998416384304619
1200 1.1999999999999999556 294.22443955597719878 3628.1448860047080416 -7428.3231891409241143 65.680389653661734428 -7362.642799487261982
1300 1.3000000000000000444 307.11651780544002577 3681.1921730798071621 -7427.116905265495916 68.558317551657154354 -7358.5585877138391879
1400 1.4000000000000001332 336.1582668015448121 4114.7169129865596915 -7429.7520672677446782 75.041373116880180305 -7354.7106941508645832
1500 1.5 314.21103915233106818 3976.3387241370824086 -7425.7438352572698932 70.142043659431323022 -7355.6017915978382007
1600 1.6000000000000000888 298.10312976500352988 3715.6042538651454379 -7425.6799123737810078 66.546238475259102074 -7359.1336738985219199
1700 1.6999999999999999556 295.33721464104041843 3487.5419159027906062 -7428.2729987398579397 65.928796962361630563 -7362.3442017774959822
1800 1.8000000000000000444 293.39085489820951125 3516.9654861179838008 -7428.0646188742221057 65.494306657925136506 -7362.5703122162967702
1900 1.9000000000000001332 294.34457872994175887 3735.8329879768689352 -7425.4584640506827782 65.707208594231616416 -7359.7512554564509628
2000 2 318.43137533260301097 3716.275030895175405 -7427.5550470314892664 71.08415888686799633 -7356.4708881446213127
2100 2.1000000000000000888 302.4506518425260424 3621.3331724867084631 -7423.3714326182562218 67.516745699303797323 -7355.8546869189522113
2200 2.2000000000000001776 293.98139066659751961 3550.385126954910902 -7423.9528251222709514 65.62613329826365316 -7358.3266918240069572
2300 2.3000000000000002665 314.27245462111716279 3575.98071640544822 -7431.1618124296010137 70.155753573967047032 -7361.0060588556343646
2400 2.3999999999999999112 284.83357100172872833 3513.166228660536035 -7425.8947013320839687 63.5840447451280113 -7362.3106565869557016
2500 2.5 276.29167189661814064 3621.5255515993076187 -7422.331224681644926 61.677217214238318377 -7360.6540074674067
2600 2.6000000000000000888 328.39301294625613536 3750.1522112489865322 -7430.8597126722943358 73.307917868415245266 -7357.5517948038786926
2700 2.7000000000000001776 287.27848132870815334 3723.2117335686793922 -7420.4486645730630698 64.129827628380709825 -7356.3188369446825163
2800 2.8000000000000002665 291.42923094083823798 3844.4910391260596043 -7422.4963863949678853 65.056408888220687459 -7357.4399775067467999
2900 2.8999999999999999112 313.08343489436089158 3687.7001179064168355 -7429.8179887635369596 69.890326000795027994 -7359.9276627627423295
3000 3 311.46895041563050199 3668.3872682965666172 -7431.011091896738435 69.529920965058266802 -7361.4811709316800261
3100 3.1000000000000000888 278.50701076109464793 3698.8723119632991256 -7423.2734016523017999 62.171752338693998752 -7361.1016493136075951
3200 3.2000000000000001776 316.30275234994729772 3859.0713754799116941 -7429.1350102457417961 70.608981545592214957 -7358.5260287001492543
3300 3.3000000000000002665 300.82471910027135209 3844.7815926109205975 -7423.9354986896742048 67.153785041708189851 -7356.7817136479661713
3400 3.3999999999999999112 320.80554423612113624 3703.080465417742289 -7428.7591356746688689 71.614150001549049307 -7357.1449856731196633
3500 3.5 300.8143861791994027 3646.2818103034510386 -7426.3418610244216325 67.151478400277284209 -7359.1903826241441493
3600 3.6000000000000000888 272.6254323482078803 3628.2437436211507702 -7421.988742581535007 60.858794235961433117 -7361.1299483455732116
3700 3.7000000000000001776 282.40720111939805292 3667.4109709044751071 -7424.2270759791781529 63.042400687428759909 -7361.1846752917490448
3800 3.8000000000000002665 316.35435099631013145 3771.1975537908097067 -7429.9871041105889162 70.620500028570134532 -7359.3666040820189664
3900 3.8999999999999999112 308.58362918855374346 3566.4320538715810471 -7426.4515819450962226 68.885824156661314532 -7357.5657577884348939
4000 4 304.94549755528248625 3612.1413208672342989 -7425.175013833482808 68.073675772097544723 -7357.1013380613849222
4100 4.0999999999999996447 276.54751850992153095 3561.1284745834454952 -7420.260386249831754 61.734330434604025584 -7358.5260558152276644
4200 4.2000000000000001776 292.99440507737426742 3472.0114192358787477 -7426.0182033457131183 65.40580626431446376 -7360.6123970813987398
4300 4.2999999999999998224 292.05054811608079035 3586.3802022806285095 -7426.3355830816299203 65.195106931897925051 -7361.1404761497324216
4400 4.4000000000000003553 308.48760792154439514 3686.9558339468703707 -7428.5975250679703095 68.864389111218699213 -7359.7331359567515392
4500 4.5 292.57113021937982467 3779.8879137377380175 -7423.3740341765687845 65.311317656754781069 -7358.0627165198138755
4600 4.6000000000000005329 314.13194401676543066 3926.8693328221625052 -7427.0039004863565424 70.124387072740233862 -7356.8795134136162233
4700 4.7000000000000001776 306.85622687784700702 3775.3865536718635667 -7426.2755865134668056 68.500212216922136577 -7357.7753742965451238
4800 4.7999999999999998224 336.91042344481257942 3663.3391261940919321 -7435.545356860823631 75.209278752064562923 -7360.336078108759466
4900 4.9000000000000003553 289.93916734571320148 3649.5833089562775058 -7425.5100369576966841 64.723778608818193447 -7360.7862583488786186
5000 5 292.4183284789892241 3572.9204410321244723 -7424.9288043849128371 65.277207377324018012 -7359.6515970075888617
5100 5.1000000000000005329 299.09046491427881165 3470.0132221645553727 -7424.6558438291458515 66.766643542292356983 -7357.8892002868533382
5200 5.2000000000000001776 325.43272723692751924 3769.4251550808548927 -7427.4581546085455557 72.647086568444748877 -7354.8110680401005084
5300 5.2999999999999998224 305.51897649086396314 3856.1213943313423442 -7420.3587480585820231 68.201694776922579422 -7352.1570532816595005
5400 5.4000000000000003553 282.23514155019807959 3706.105774628303152 -7417.8524712696580536 63.003991439149622522 -7354.8484798305080403
5500 5.5 304.1679550157393237 3651.5255775376385827 -7425.0900774624624319 67.900103185651076387 -7357.1899742768109718
5600 5.6000000000000005329 304.20935879211049269 3638.6982723863125102 -7427.402606739597104 67.9093458446541689 -7359.4932608949429778
5700 5.7000000000000001776 284.68130983250210875 3557.7761641542047073 -7424.4859733414496077 63.550055138625516804 -7360.9359182028238138
5800 5.7999999999999998224 293.76262911960384372 3586.8322418828843183 -7426.00033298841754 65.57729866144876496 -7360.423034326969173
5900 5.9000000000000003553 309.58483251964071314 3761.8060869156101944 -7426.6548539347149926 69.109325049406933772 -7357.5455288853081584
6000 6 306.86517017904452587 3660.5042774339340212 -7424.8692440677350532 68.502208650353466624 -7356.3670354173818851
6100 6.1000000000000005329 301.68255709344191473 3612.3547101208610002 -7424.7665938456630101 67.345282164571912631 -7357.421311681091538
6200 6.2000000000000001776 292.47316185374410225 3557.8225406140877567 -7424.1523636126021302 65.289447956065075118 -7358.8629156565366429
6300 6.2999999999999998224 310.19824412054737195 3643.2768162280713113 -7428.4902636601918857 69.246258313776223758 -7359.2440053464160883
6400 6.4000000000000003553 295.61460718267284165 3693.861683760464075 -7425.58252490248924 65.990719929226429485 -7359.5918049732626969
6500 6.5 306.51615541433886847 3684.4740925843457262 -7427.2875110375980512 68.42429729201987243 -7358.863213745577923
6600 6.6000000000000005329 324.09506932046309657 3856.6774665873190315 -7429.0199499866521364 72.348478154713788513 -7356.6714718319381063
6700 6.7000000000000001776 318.28914660652912971 3782.6088622734764613 -7426.8550937345471539 71.052408845428288942 -7355.8026848891186091
6800 6.7999999999999998224 302.53459332963205952 3642.7902611722029178 -7425.6416450093684034 67.535484148052489672 -7358.1061608613163116
6900 6.9000000000000003553 294.69152684812547704 3555.928920638971249 -7425.8780825346184429 65.784658610369987741 -7360.093423924248782
7000 7 294.09506389203920662 3437.2580244394457623 -7425.8394828774553389 65.651508830464408106 -7360.1879740469912576
7100 7.1000000000000005329 289.39436797479328334 3576.1725228275613517 -7423.7433372185914777 64.602161808327068115 -7359.1411754102646228
7200 7.2000000000000001776 314.96296277342975145 3688.4801130912283043 -7426.6671522866708983 70.309897276547857814 -7356.357255010123481
7300 7.2999999999999998224 293.67257385196370478 3504.2876729220129164 -7420.5459987897675092 65.557195419590627239 -7354.9888033701772656
7400 7.4000000000000003553 298.42127695975426604 3624.4120473601333288 -7424.3078385412982243 66.617259195869479527 -7357.6905793454288869
7500 7.5 289.28035598220606062 3754.0156996234977669 -7423.98880654419645 64.576710652367296461 -7359.4120958918292672
7600 7.6000000000000005329 282.86049893176442538 3614.1444464883393266 -7423.0412332516898459 63.143591387257458791 -7359.897641864432444
7700 7.7000000000000001776 306.60081839224312716 3618.7642498065811196 -7427.5455777219131051 68.443196800797522883 -7359.1023809211155822
7800 7.7999999999999998224 313.47056315140031302 3817.846072410621673 -7428.156677893683991 69.976745520555738267 -7358.1799323731283948
7900 7.9000000000000003553 299.79416980560927186 3765.0840730629147401 -7423.6887257468069947 66.923733182886195436 -7356.764992563920714
8000 8 322.31582929750283029 3706.1663275886030533 -7428.3756751446562703 71.951294364775137069 -7356.4243807798811758
8100 8.0999999999999996447 303.63242251349947765 3660.2690105795491036 -7427.1275561436814314 67.780555049295060144 -7359.3470010943865418
8200 8.1999999999999992895 302.19475063747421473 3819.837145662238072 -7428.48996698686733 67.459620292298140498 -7361.0303466945688342
8300 8.3000000000000007105 302.67875980044163953 3680.1608180824041483 -7428.0719759912662994 67.567666756649018112 -7360.5043092346177218
8400 8.4000000000000003553 297.62021264813324706 3683.6438939218851374 -7425.4194956913224814 66.438435790837885975 -7358.9810599004849792
8500 8.5 293.68380405834545854 3635.1545505795465942 -7423.7983768518624856 65.559702364058452417 -7358.238674487804019
8600 8.5999999999999996447 308.55074894855493994 3588.382738662635802 -7427.3512883188823253 68.878484226034601079 -7358.4728040928475821
8700 8.7000000000000010658 284.28458215044514645 3512.5160550682930989 -7422.4961234788679576 63.461492717423460874 -7359.0346307614445323
8800 8.8000000000000007105 310.97939162209445385 3642.379873728802977 -7428.7000131929780764 69.420635644075574078 -7359.2793775489026302
8900 8.9000000000000003553 299.37067125922277455 3560.9882276683711098 -7427.2652991200320685 66.829194640858887055 -7360.4361044791730819
9000 9 295.350760410713292 3500.6568047279229177 -7428.0446602503943723 65.93182081528023275 -7362.1128394351144379
9100 9.0999999999999996447 300.08721942213696821 3574.6886549689061212 -7428.4783249836291361 66.989151314127923342 -7361.4891736695008149
9200 9.2000000000000010658 296.91511538213552512 3601.2412306885539692 -7424.5912028709653896 66.281035327285806602 -7358.3101675436791993
9300 9.3000000000000007105 309.31541138865162566 3698.6225927644495641 -7426.4021879095062104 69.049181558638451861 -7357.3530063508678722
9400 9.4000000000000003553 297.53260570346441227 3708.6475983339878439 -7424.6826296872595776 66.418879093675343483 -7358.2637505935845184
9500 9.5 289.78353424407708872 3610.6731795638170297 -7424.9992949893621699 64.689036278188240203 -7360.310258711174356
9600 9.5999999999999996447 294.44205938337682937 3557.2409550875208879 -7427.3466445304229637 65.728969421819471108 -7361.61767510860318
9700 9.7000000000000010658 306.8838239434981574 3786.5718810356543145 -7429.2965055533422856 68.506372772544239069 -7360.7901327807976486
9800 9.8000000000000007105 302.11962869874736271 3796.856922106386719 -7424.9128871642251397 67.442850651358170921 -7357.4700365128674093
9900 9.9000000000000003553 297.59373750087297594 3665.7331257392893349 -7423.1982198129617245 66.43252568360540522 -7356.765694129356234
10000 10 297.78592597571281431 3493.6511587077084187 -7424.617005705237716 66.475428353191503561 -7358.1415773520466246
10100 10.099999999999999645 277.75894259131865738 3397.6296338125316652 -7422.8995762408912924 62.004759382729709216 -7360.8948168581619029
10200 10.200000000000001066 291.76052819308131347 3527.2388383782595156 -7426.0165207805357568 65.130365126021160904 -7360.8861556545143685
10300 10.300000000000000711 294.3379525297000896 3506.9501289039008043 -7425.7159339894742516 65.705729412507452025 -7360.0102045769672259
10400 10.400000000000000355 299.53636993068755601 3621.435203354071291 -7425.5316777193302187 66.866183931494731496 -7358.6654937878356577
10500 10.5 283.74749636148436593 3522.040242000899525 -7421.9484622141008003 63.341597837346114375 -7358.6068643767548565
