step time temp press pe ke etotal

0 0 300.00000000000051159 2067.3605138293901291 -7493.6447998565572561 66.969681124500112901 -7426.6751187320569443
100 0.10000000000000000555 143.63157689666746819 1998.4875702294459643 -7458.510654217566298 32.063203013929744145 -7426.4474512036367742
200 0.2000000000000000111 123.91008764397460595 1966.1788772590614371 -7453.6310388352676455 27.660730192086091961 -7425.9703086431818519
300 0.2999999999999999889 158.32054794763215 1838.6621942626272812 -7460.7031515356802629 35.342255371696793986 -7425.3608961639838526
400 0.4000000000000000222 163.46103714038949306 1809.9224881528700735 -7461.2643075628348015 36.489778445239785754 -7424.7745291175951934
500 0.5 145.20042887875317206 1818.2067043566805751 -7456.6212310318624077 32.413421403835805279 -7424.2078096280265527
600 0.5999999999999999778 149.43661940416495781 1864.173429211891289 -7456.9578625678414028 33.359075832733992684 -7423.5987867351077512
700 0.70000000000000006661 147.01103117217576255 1921.6694930116022988 -7455.7177957440108003 32.817606264615136524 -7422.9001894793955216
800 0.80000000000000004441 156.76360076980034819 1876.5276062272780564 -7457.1407332762382794 34.994694518273178119 -7422.1460387579654707
900 0.9000000000000000222 163.64175664170727487 1944.8942640640209447 -7457.8818964714973845 36.530120869827221952 -7421.3517756016699423
1000 1 165.38665220055543159 2024.5369718744072998 -7457.4523127788779675 36.919637867065944192 -7420.532674911812137
1100 1.1000000000000000888 165.55872390608664091 2033.5688514351966205 -7456.6343775728355467 36.958049824565861741 -7419.6763277482696139
1200 1.1999999999999999556 165.66025816728628683 2048.5498396453622263 -7455.7799727817082385 36.980715548218370259 -7418.7992572334896977
1300 1.3000000000000000444 174.28108276920406183 2059.9127903076482653 -7456.8162199711614448 38.905161796953962039 -7417.9110581742079376
1400 1.4000000000000001332 185.91307762803100445 2285.5171203453778617 -7458.4804649539755701 41.501798418745508457 -7416.9786665352303316
1500 1.5 178.1193179854018922 2193.5110516211475442 -7455.8024315008524354 39.761979758652614692 -7416.040451742199366
1600 1.6000000000000000888 173.21666749938765406 2162.7606355253692527 -7453.7375836952833197 38.667549959608450649 -7415.0700337356747696
1700 1.6999999999999999556 184.92814001910744537 2134.8807112377699013 -7455.3756314362317426 41.28192856008838163 -7414.0937028761436522
1800 1.8000000000000000444 184.22682157276810244 2201.8237501789303678 -7454.2104265571506403 41.125371651028125086 -7413.0850549061224228
1900 1.9000000000000001332 177.57642609172572179 2226.1602813738800251 -7451.685894893827026 39.640788768637378325 -7412.0451061251897045
2000 2 190.0232648646747009 2163.1718872014594126 -7453.4306011934340859 42.419324847412234192 -7411.0112763460219867
2100 2.1000000000000000888 181.45349213397443577 2186.2417892271760138 -7450.4496552926493678 40.506275023797456925 -7409.9433802688517972
2200 2.2000000000000001776 182.57047732347837155 2217.0848716217569745 -7449.6248018930727994 40.75562216367035262 -7408.8691797294022763
2300 2.3000000000000002665 209.91500474997977221 2361.0300081995578694 -7454.6449142498431684 46.859803104513495953 -7407.7851111453301201
2400 2.3999999999999999112 180.83541754737822771 2331.1500461622749754 -7447.0323719867355976 40.368300830545777558 -7406.6640711561894932
2500 2.5 182.05879860344305143 2430.1416168486202878 -7446.1792448155383681 40.641398961273829116 -7405.5378458542645603
2600 2.6000000000000000888 211.04253538672966783 2420.7232364586143376 -7451.5188282716944741 47.111504328517646911 -7404.4073239431763795
2700 2.7000000000000001776 190.34736394846444796 2495.8325674905258893 -7445.7531675712725701 42.49167422172604347 -7403.2614933495460718
2800 2.8000000000000002665 205.47885180506023062 2542.9310111977242741 -7447.9677649220429885 45.869510610710918286 -7402.0982543113323118
2900 2.8999999999999999112 223.59211473687818739 2549.5723341606767463 -7450.846094273358176 49.912975419604499905 -7400.9331188537535127
3000 3 204.17694545926505612 2602.0642734017751536 -7445.3041684326899485 45.578883101271365774 -7399.7252853314184904
