step time temp press pe ke etotal
2700 2.7000000000000001776 243.81009641060248327 3195.048988040814038 -7431.1584290062064611 54.426281371838840073 -7376.7321476343677205
2800 2.8000000000000002665 258.76560369307617293 3298.5980098630197972 -7433.6516105650080135 57.764833217713508873 -7375.8867773472948102
2900 2.8999999999999999112 283.3795900726081527 3252.2793202488578572 -7438.3244984231660055 63.259469281180315647 -7375.0650291419860878
3000 3 269.50104066066541009 3307.1895873876519545 -7434.5143975457631313 60.161329185885577431 -7374.3530683598773976
3100 3.1000000000000000888 249.97196219114704263 3309.8914265118032745 -7429.4156790368269867 55.801808660022295783 -7373.613870376804698
3200 3.2000000000000001776 283.91718497869743487 3397.171282868747312 -7436.2797799451336687 63.379477812630163669 -7372.9003021325033842
3300 3.3000000000000002665 267.90908712158102389 3417.8997948932633335 -7432.0213352970949927 59.80595378296057163 -7372.2153815141346058
3400 3.3999999999999999112 294.50274249658281178 3299.4156932589817188 -7437.302439475056417 65.742515850956294798 -7371.5599236241005201
3500 3.5 272.23201843555784762 3316.3200786935349242 -7431.7543980974751321 60.770971555027720967 -7370.9834265424469777
3600 3.6000000000000000888 253.25835489003736711 3332.2894605230280831 -7426.9082159333465825 56.535437563670861039 -7370.3727783696758706
3700 3.7000000000000001776 259.62754090855599998 3351.6479633968233429 -7427.8265563919921988 57.957245419280255305 -7369.8693109727119008
3800 3.8000000000000002665 294.29135259025377991 3307.883722547045636 -7435.0615278458817556 65.695326802223647178 -7369.3662010436582932
3900 3.8999999999999999112 273.81048507868291608 3204.7972514136886275 -7429.9823895742756577 61.123336247546873778 -7368.8590533267288265
4000 4 276.21674299077113801 3311.7143134842963264 -7430.0192591982413433 61.66049066446637994 -7368.3587685337752191
4100 4.0999999999999996447 266.28647150687663725 3281.3976512656627165 -7427.3166097336661551 59.443733615279285232 -7367.8728761183865572
4200 4.2000000000000001776 283.67994607644516236 3289.0300915831412567 -7430.8152168946962774 63.326518433849628309 -7367.4886984608465355
4300 4.2999999999999998224 277.72460847398065198 3416.170575372314488 -7429.0984900555431523 61.99709489976365262 -7367.1013951557797554
4400 4.4000000000000003553 294.84893426408945061 3527.7559842102396033 -7432.5218506399478429 65.819797025215777353 -7366.7020536147319945
4500 4.5 268.59954473263394448 3634.0270987534236156 -7426.2931745255673377 59.960086203101234048 -7366.3330883224662102
4600 4.6000000000000005329 284.40575484315144195 3664.3778385969008013 -7429.4826536972823305 63.488542372728581142 -7365.9941113245540691
4700 4.7000000000000001776 308.70802339291714134 3565.2450088305699865 -7434.516090044644443 68.913592957327836075 -7365.6024970873168058
4800 4.7999999999999998224 304.70343680281791876 3552.4378557927020665 -7433.3993195430248306 68.019640000746520059 -7365.379679542278609
4900 4.9000000000000003553 269.42157619447203842 3434.558888092512916 -7425.1894942840808653 60.143590152679912819 -7365.0459041314006754
