# Fix print output for fix output
0 0 299.99999999999994316 2611.3958327059199291 -17800.006287715423241 77.517308956499988426 -17722.488978758923622
100 0.10000000000000000555 198.49870011729976227 4240.0033069077526307 -17765.940533748391317 51.290283548187893814 -17714.650250200204027
200 0.2000000000000000111 196.47322766235188851 3485.6835775783629288 -17758.251280861059058 50.766919634610978562 -17707.484361226448527
300 0.2999999999999999889 197.54149481059101845 2943.8356196617914975 -17751.981642107646621 51.042950283204753248 -17700.938691824441776
400 0.4000000000000000222 221.66777154766546687 3832.7101709329590449 -17752.225644471731357 57.276963775864146555 -17694.948680695866642
500 0.5 213.18346914752993371 2814.2919102819614636 -17744.409941697558679 55.084696141091882282 -17689.325245556465234
600 0.5999999999999999778 232.00238699264969 2848.5244895897862989 -17743.994550901243201 59.947335703849013555 -17684.047215197395417
700 0.70000000000000006661 247.32261245504531644 2897.3142969104756048 -17743.23905722177733 63.905944538688210343 -17679.333112683088984
800 0.80000000000000004441 242.98142566995969105 2601.0559551973619818 -17737.675963630459592 62.784220814497018637 -17674.891742815962061
900 0.9000000000000000222 253.91004105294106807 2696.0459531836399947 -17736.233174406050239 65.608076998194775342 -17670.6250974078539
1000 1 276.83982811974925653 2541.5199088171748372 -17738.433094986339711 71.532928292743207521 -17666.900166693598294
1100 1.1000000000000000888 281.54325685513964572 2661.9300286117995711 -17736.267593759654119 72.748252087530318022 -17663.519341672123119
1200 1.1999999999999999556 274.05059522363364977 1770.666117259909015 -17731.270224553289154 70.812215532210444735 -17660.458009021080215
1300 1.3000000000000000444 284.59097877458276571 2056.5398288701890124 -17731.198995605995151 73.53575609300689564 -17657.663239512989094
1400 1.4000000000000001332 275.47082357924267626 1639.6551601489331915 -17726.326994779534289 71.179189799645541825 -17655.14780497988977
1500 1.5 288.80898630840869146 1566.7586125511140835 -17727.545715796830336 74.625651403608316059 -17652.920064393223583
1600 1.6000000000000000888 312.29369860737796216 2444.8436281971908102 -17731.650451636305661 80.693890400387374484 -17650.956561235918343
1700 1.6999999999999999556 301.10974280794783908 1425.3062070017024325 -17727.085003646254336 77.804056543519820366 -17649.280947102735809
1800 1.8000000000000000444 302.66746190606880873 1451.2080424382252204 -17726.034927298194816 78.206557185508103203 -17647.828370112685661
1900 1.9000000000000001332 315.78639389255135939 1676.6196718956218774 -17728.210478909601079 81.59637153209303051 -17646.614107377507025
2000 2 316.21196878099721062 2233.1426494711126907 -17727.360354636017291 81.706336265798981344 -17645.654018370220001
2100 2.1000000000000000888 309.57397267539062113 1765.9226831480655164 -17724.805730033061991 79.991137615897812907 -17644.814592417165841
2200 2.2000000000000001776 306.36919833724886075 1804.239417994871701 -17723.23980441466847 79.163052674212494253 -17644.07675174045653
2300 2.3000000000000002665 313.12992180501481698 1422.185760576693383 -17724.366316851705051 80.909962973613403392 -17643.456353878093068
2400 2.3999999999999999112 315.37660351188583263 1963.3036374515363605 -17724.59757431136677 81.490485373608194664 -17643.107088937758817
2500 2.5 319.80051045235876472 2032.2307695910415077 -17725.48785966554351 82.633583243939682461 -17642.854276421603572
2600 2.6000000000000000888 314.89451220856994951 1432.3170933014928323 -17724.069913739487674 81.365917305260268222 -17642.703996434225701
2700 2.7000000000000001776 314.62296870602432364 1036.1219415034295253 -17724.039607115468243 81.295752899987064666 -17642.743854215481406
2800 2.8000000000000002665 308.74175335055122105 1491.4814824475022306 -17722.590522379075992 79.776099607487324761 -17642.814422771589307
2900 2.8999999999999999112 305.47828208072024836 1317.1765929095790852 -17721.902866886412085 78.932847905173503023 -17642.970018981239264
3000 3 318.983360511067076 1530.3667125849019612 -17725.665649932201632 82.422439029063369276 -17643.243210903139698
3100 3.1000000000000000888 314.44766767165782539 1377.6385126868160569 -17724.803695326976595 81.25045668518245634 -17643.553238641794451
3200 3.2000000000000001776 309.20352889324158241 1674.0258847251702718 -17723.850912873665948 79.895418265524938306 -17643.955494608140725
3300 3.3000000000000002665 305.81661785933289366 1235.5087401393388973 -17723.448930766531703 79.020270835446012825 -17644.428659931087168
3400 3.3999999999999999112 308.3336398751202978 1384.5571979736412231 -17724.550004392258415 79.670646746273035887 -17644.879357645986602
3500 3.5 306.34907570302624435 1537.1174346476288974 -17724.642897718338645 79.15785316603231081 -17645.485044552307954
3600 3.6000000000000000888 303.04130537857975014 1690.611544818839775 -17724.404659978383279 78.30315498537477481 -17646.101504993010167
3700 3.7000000000000001776 306.02009500362339622 2328.9428556926341116 -17725.706850471357029 79.072847504311198463 -17646.634002967046399
3800 3.8000000000000002665 301.77578108338690299 1688.607147059881072 -17725.221038453408255 77.976154859433378874 -17647.244883593975828
3900 3.8999999999999999112 300.20715476239104191 1787.2946337214593768 -17725.387258404047316 77.570835888893597598 -17647.816422515152226
4000 4 306.35781518342838581 1832.2416305639749226 -17727.648786607976945 79.160111369373822754 -17648.488675238604628
4100 4.0999999999999996447 304.36233720871371133 2095.893085034210344 -17727.720507999529218 78.644497760434319389 -17649.076010239095922
4200 4.2000000000000001776 300.87470826978284322 1885.5693678408540563 -17727.365335912512819 77.743325727151869842 -17649.622010185361432
4300 4.2999999999999998224 300.50648582400719988 2227.4299853059137604 -17727.925030636630254 77.648180350172182784 -17650.276850286456465
4400 4.4000000000000003553 297.92876450219307571 2027.3879592216087531 -17727.879574740756652 76.982120283149441775 -17650.897454457608546
4500 4.5 294.79034947894319885 1806.264889781201191 -17727.70230451927273 76.171181993179502001 -17651.531122526092076
4600 4.6000000000000005329 302.90294829267128307 2657.3000190148454749 -17730.462587400626944 78.267404755459153876 -17652.195182645169552
